NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        138.      0.11148783E+06     -0.27968653E+06     -0.75189850E+06      0.58814343E+03      0.18436508E+04      0.21045348E+06      0.12320000E+04
        139.      0.11148784E+06     -0.26127180E+06     -0.75782394E+06      0.59732202E+03      0.18403639E+04      0.21045348E+06      0.12320000E+04
        140.      0.11148784E+06     -0.24288888E+06     -0.76384169E+06      0.60657275E+03      0.18372992E+04      0.21045348E+06      0.12320000E+04
        141.      0.11148783E+06     -0.22453553E+06     -0.76995244E+06      0.61589661E+03      0.18344562E+04      0.21045348E+06      0.12320000E+04
        142.      0.11148782E+06     -0.20620956E+06     -0.77615688E+06      0.62529486E+03      0.18318346E+04      0.21045348E+06      0.12320000E+04
        143.      0.11148780E+06     -0.18790873E+06     -0.78245588E+06      0.63476862E+03      0.18294341E+04      0.21045348E+06      0.12320000E+04
        144.      0.11148779E+06     -0.16963086E+06     -0.78885006E+06      0.64431897E+03      0.18272544E+04      0.21045348E+06      0.12320000E+04
        145.      0.11148777E+06     -0.15137372E+06     -0.79534031E+06      0.65394714E+03      0.18252952E+04      0.21045350E+06      0.12320000E+04
        146.      0.11148773E+06     -0.13313511E+06     -0.80192731E+06      0.66365424E+03      0.18235562E+04      0.21045350E+06      0.12320000E+04
        147.      0.11148770E+06     -0.11491284E+06     -0.80861194E+06      0.67344153E+03      0.18220372E+04      0.21045350E+06      0.12320000E+04
        148.      0.11148766E+06     -0.96704711E+05     -0.81539494E+06      0.68331018E+03      0.18207383E+04      0.21045350E+06      0.12320000E+04
        149.      0.11148762E+06     -0.78508523E+05     -0.82227719E+06      0.69326135E+03      0.18196589E+04      0.21045350E+06      0.12320000E+04
        150.      0.11148757E+06     -0.60322070E+05     -0.82925950E+06      0.70329633E+03      0.18187992E+04      0.21045350E+06      0.12320000E+04
        151.      0.11148752E+06     -0.42143168E+05     -0.83634269E+06      0.71341620E+03      0.18181588E+04      0.21045350E+06      0.12320000E+04
        152.      0.11148745E+06     -0.23969619E+05     -0.84352762E+06      0.72362231E+03      0.18177379E+04      0.21045350E+06      0.12320000E+04
        153.      0.11148739E+06     -0.57992339E+04     -0.85081519E+06      0.73391589E+03      0.18175364E+04      0.21045350E+06      0.12320000E+04
        154.      0.11148732E+06      0.12370182E+05     -0.85820625E+06      0.74429816E+03      0.18175542E+04      0.21045350E+06      0.12320000E+04
        155.      0.11148724E+06      0.30540820E+05     -0.86570175E+06      0.75477039E+03      0.18177913E+04      0.21045350E+06      0.12320000E+04
        156.      0.11148716E+06      0.48714875E+05     -0.87330250E+06      0.76533380E+03      0.18182476E+04      0.21045350E+06      0.12320000E+04
        157.      0.11148708E+06      0.66894539E+05     -0.88100950E+06      0.77598981E+03      0.18189233E+04      0.21045350E+06      0.12320000E+04
        158.      0.11148699E+06      0.85082000E+05     -0.88882362E+06      0.78673956E+03      0.18198186E+04      0.21045350E+06      0.12320000E+04
        159.      0.11148689E+06      0.10327946E+06     -0.89674588E+06      0.79758447E+03      0.18209333E+04      0.21045350E+06      0.12320000E+04
        160.      0.11148679E+06      0.12148911E+06     -0.90477719E+06      0.80852582E+03      0.18222678E+04      0.21045350E+06      0.12320000E+04
        161.      0.11148669E+06      0.13971314E+06     -0.91291850E+06      0.81956494E+03      0.18238221E+04      0.21045350E+06      0.12320000E+04
        162.      0.11148657E+06      0.15795377E+06     -0.92117081E+06      0.83070319E+03      0.18255966E+04      0.21045350E+06      0.12320000E+04
        163.      0.11148645E+06      0.17621319E+06     -0.92953519E+06      0.84194189E+03      0.18275912E+04      0.21045350E+06      0.12320000E+04
        164.      0.11148633E+06      0.19449359E+06     -0.93801250E+06      0.85328241E+03      0.18298063E+04      0.21045350E+06      0.12320000E+04
        165.      0.11148620E+06      0.21279719E+06     -0.94660394E+06      0.86472614E+03      0.18322421E+04      0.21045350E+06      0.12320000E+04
NS ColMember_17.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        166.      0.10642362E+06      0.21928317E+06      0.92413444E+06     -0.42832271E+04      0.11371357E+04      0.21561956E+06      0.15220000E+04
        167.      0.10642327E+06      0.22782409E+06      0.95628775E+06     -0.42913379E+04      0.11391686E+04      0.21561956E+06      0.15220000E+04
NS ColMember_18.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        168.      0.10646760E+06      0.19916717E+06     -0.94784669E+06     -0.16934745E+04      0.13065578E+03      0.22292014E+06      0.15370000E+04
        169.      0.10646777E+06      0.20047878E+06     -0.93096781E+06     -0.16826260E+04      0.13301575E+03      0.22292014E+06      0.15370000E+04
        170.      0.10646794E+06      0.20181419E+06     -0.91419644E+06     -0.16719716E+04      0.13539064E+03      0.22292014E+06      0.15370000E+04
        171.      0.10646810E+06      0.20317353E+06     -0.89753062E+06     -0.16615101E+04      0.13778078E+03      0.22292014E+06      0.15370000E+04
