NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        118.      0.10944417E+06     -0.66535664E+05     -0.67085294E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        119.      0.10944417E+06     -0.85644406E+05     -0.67243725E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        120.      0.10944417E+06     -0.10475314E+06     -0.67402156E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        121.      0.10944417E+06     -0.12386188E+06     -0.67560588E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        122.      0.10944417E+06     -0.14297062E+06     -0.67719019E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        123.      0.10944417E+06     -0.16207936E+06     -0.67877450E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        124.      0.10944417E+06     -0.18118809E+06     -0.68035881E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        125.      0.10944417E+06     -0.20029683E+06     -0.68194312E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        126.      0.10944417E+06     -0.21940556E+06     -0.68352744E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        127.      0.10944417E+06     -0.23851431E+06     -0.68511175E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        128.      0.10944417E+06     -0.25762305E+06     -0.68669606E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        129.      0.10944417E+06     -0.27673178E+06     -0.68828038E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        130.      0.10944417E+06     -0.29584053E+06     -0.68986469E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        131.      0.10944417E+06     -0.31494925E+06     -0.69144900E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
        132.      0.10944417E+06     -0.33405800E+06     -0.69303331E+06      0.15843130E+03     -0.19108738E+04      0.20686178E+06      0.91200000E+03
NS ColMember_14.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        133.      0.11489286E+06     -0.37828438E+06     -0.71136019E+06      0.15172404E+03      0.44957983E+04      0.21208309E+06      0.12020000E+04
        134.      0.11489286E+06     -0.34456588E+06     -0.71249812E+06      0.15172404E+03      0.44957983E+04      0.21208309E+06      0.12020000E+04
NS ColMember_15.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        135.      0.11489284E+06     -0.30001550E+06      0.73791831E+06      0.43557843E+03     -0.15706763E+04      0.21399470E+06      0.12170000E+04
        136.      0.11489284E+06     -0.31179559E+06      0.73465150E+06      0.43557843E+03     -0.15706763E+04      0.21399470E+06      0.12170000E+04
NS ColMember_16.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
        137.      0.11469839E+06     -0.29245825E+06     -0.73019000E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        138.      0.11469839E+06     -0.27485181E+06     -0.73463269E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        139.      0.11469839E+06     -0.25724534E+06     -0.73907531E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        140.      0.11469839E+06     -0.23963889E+06     -0.74351800E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        141.      0.11469839E+06     -0.22203244E+06     -0.74796062E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        142.      0.11469839E+06     -0.20442598E+06     -0.75240331E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
        143.      0.11469839E+06     -0.18681953E+06     -0.75684594E+06      0.44426587E+03      0.17606456E+04      0.21127264E+06      0.12320000E+04
