NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        191.     -0.92705215E+04     -0.19736156E-12      0.72524375E+05      0.39221442E-12      0.35459084E-14     -0.20125911E+04
        192.     -0.92705791E+04     -0.19784212E-12      0.73608875E+05      0.39205290E-12      0.32220731E-14     -0.18405328E+04
        193.     -0.92706328E+04     -0.19832297E-12      0.74692875E+05      0.39188889E-12      0.28902263E-14     -0.16661544E+04
        194.     -0.92706807E+04     -0.19880412E-12      0.75776375E+05      0.39172246E-12      0.25503779E-14     -0.14894580E+04
        195.     -0.92707236E+04     -0.19928562E-12      0.76859352E+05      0.39155354E-12      0.22025385E-14     -0.13104457E+04
        196.     -0.92707617E+04     -0.19976746E-12      0.77941805E+05      0.39138210E-12      0.18467184E-14     -0.11291198E+04
        197.     -0.92707949E+04     -0.20024969E-12      0.79023734E+05      0.39120825E-12      0.14829282E-14     -0.94548212E+03
        198.     -0.92708213E+04     -0.20073232E-12      0.80105117E+05      0.39103193E-12      0.11111791E-14     -0.75953522E+03
        199.     -0.92708428E+04     -0.20121537E-12      0.81185961E+05      0.39085304E-12      0.73148214E-15     -0.57128131E+03
        200.     -0.92708574E+04     -0.20169887E-12      0.82266250E+05      0.39067179E-12      0.34384853E-15     -0.38072256E+03
NS BraceMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        201.     -0.18596086E+03      0.19216567E-13      0.26283508E+05      0.27977702E-14     -0.24605941E-13     -0.20606106E+04
        202.     -0.18640729E+03      0.18853566E-13      0.25760410E+05      0.28361744E-14     -0.23300240E-13     -0.16817927E+04
        203.     -0.18679544E+03      0.18490550E-13      0.25237211E+05      0.28736027E-14     -0.22021347E-13     -0.13105352E+04
        204.     -0.18712828E+03      0.18127511E-13      0.24713910E+05      0.29100721E-14     -0.20769287E-13     -0.94684186E+03
        205.     -0.18740868E+03      0.17764446E-13      0.24190512E+05      0.29455747E-14     -0.19544016E-13     -0.59071649E+03
        206.     -0.18763948E+03      0.17401347E-13      0.23667018E+05      0.29801101E-14     -0.18345651E-13     -0.24216264E+03
        207.     -0.18782347E+03      0.17038212E-13      0.23143428E+05      0.30137199E-14     -0.17174154E-13      0.98816162E+02
        208.     -0.18796335E+03      0.16675031E-13      0.22619746E+05      0.30463953E-14     -0.16029541E-13      0.43221646E+03
        209.     -0.18806181E+03      0.16311801E-13      0.22095973E+05      0.30781448E-14     -0.14911825E-13      0.75803485E+03
        210.     -0.18812144E+03      0.15948516E-13      0.21572113E+05      0.31089826E-14     -0.13821020E-13      0.10762681E+04
        211.     -0.18814482E+03      0.15585169E-13      0.21048168E+05      0.31389067E-14     -0.12757136E-13      0.13869130E+04
