NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
        128.     -0.25305874E+04     -0.12347209E+04     -0.23841838E+04     -0.24002327E+03     -0.24304764E+01     -0.14434672E+02
        129.     -0.25305864E+04     -0.12590056E+04     -0.22399648E+04     -0.24002306E+03     -0.24301934E+01     -0.14435222E+02
        130.     -0.25305857E+04     -0.12832874E+04     -0.20957410E+04     -0.24002284E+03     -0.24299047E+01     -0.14435739E+02
        131.     -0.25305847E+04     -0.13075662E+04     -0.19515121E+04     -0.24002263E+03     -0.24296100E+01     -0.14436220E+02
        132.     -0.25305840E+04     -0.13318420E+04     -0.18072788E+04     -0.24002242E+03     -0.24293094E+01     -0.14436667E+02
        133.     -0.25305833E+04     -0.13561147E+04     -0.16630415E+04     -0.24002220E+03     -0.24290028E+01     -0.14437081E+02
        134.     -0.25305825E+04     -0.13803844E+04     -0.15188003E+04     -0.24002197E+03     -0.24286902E+01     -0.14437461E+02
        135.     -0.25305820E+04     -0.14046508E+04     -0.13745555E+04     -0.24002176E+03     -0.24283717E+01     -0.14437805E+02
        136.     -0.25305815E+04     -0.14289141E+04     -0.12303077E+04     -0.24002153E+03     -0.24280472E+01     -0.14438117E+02
        137.     -0.25305811E+04     -0.14531740E+04     -0.10860571E+04     -0.24002130E+03     -0.24277170E+01     -0.14438394E+02
        138.     -0.25305806E+04     -0.14774305E+04     -0.94180402E+03     -0.24002109E+03     -0.24273806E+01     -0.14438636E+02
        139.     -0.25305803E+04     -0.15016837E+04     -0.79754877E+03     -0.24002086E+03     -0.24270384E+01     -0.14438845E+02
        140.     -0.25305798E+04     -0.15259335E+04     -0.65329169E+03     -0.24002063E+03     -0.24266901E+01     -0.14439019E+02
        141.     -0.25305796E+04     -0.15501797E+04     -0.50903308E+03     -0.24002040E+03     -0.24263361E+01     -0.14439159E+02
        142.     -0.25305796E+04     -0.15744224E+04     -0.36477328E+03     -0.24002016E+03     -0.24259758E+01     -0.14439265E+02
        143.     -0.25305793E+04     -0.15986614E+04     -0.22051268E+03     -0.24001993E+03     -0.24256096E+01     -0.14439337E+02
        144.     -0.25305793E+04     -0.16228969E+04     -0.76251564E+02     -0.24001970E+03     -0.24252377E+01     -0.14439375E+02
        145.     -0.25305793E+04     -0.16471284E+04      0.68009743E+02     -0.24001945E+03     -0.24248595E+01     -0.14439378E+02
        146.     -0.25305796E+04     -0.16713563E+04      0.21227090E+03     -0.24001921E+03     -0.24244754E+01     -0.14439347E+02
        147.     -0.25305796E+04     -0.16955803E+04      0.35653159E+03     -0.24001898E+03     -0.24240856E+01     -0.14439282E+02
        148.     -0.25305798E+04     -0.17198004E+04      0.50079147E+03     -0.24001874E+03     -0.24236896E+01     -0.14439183E+02
        149.     -0.25305801E+04     -0.17440166E+04      0.64505023E+03     -0.24001849E+03     -0.24232876E+01     -0.14439051E+02
        150.     -0.25305803E+04     -0.17682286E+04      0.78930750E+03     -0.24001825E+03     -0.24228797E+01     -0.14438883E+02
        151.     -0.25305808E+04     -0.17924368E+04      0.93356299E+03     -0.24001801E+03     -0.24224658E+01     -0.14438682E+02
        152.     -0.25305813E+04     -0.18166407E+04      0.10778164E+04     -0.24001775E+03     -0.24220457E+01     -0.14438446E+02
        153.     -0.25305818E+04     -0.18408405E+04      0.12220673E+04     -0.24001750E+03     -0.24216199E+01     -0.14438176E+02
        154.     -0.25305823E+04     -0.18650360E+04      0.13663154E+04     -0.24001726E+03     -0.24211879E+01     -0.14437872E+02
        155.     -0.25305830E+04     -0.18892273E+04      0.15105604E+04     -0.24001700E+03     -0.24207499E+01     -0.14437534E+02
        156.     -0.25305835E+04     -0.19134142E+04      0.16548020E+04     -0.24001674E+03     -0.24203060E+01     -0.14437162E+02
        157.     -0.25305842E+04     -0.19375967E+04      0.17990399E+04     -0.24001649E+03     -0.24198561E+01     -0.14436755E+02
        158.     -0.25305852E+04     -0.19617747E+04      0.19432736E+04     -0.24001624E+03     -0.24194002E+01     -0.14436315E+02
        159.     -0.25305859E+04     -0.19859481E+04      0.20875029E+04     -0.24001598E+03     -0.24189382E+01     -0.14435841E+02
        160.     -0.25305869E+04     -0.20101171E+04      0.22317275E+04     -0.24001572E+03     -0.24184701E+01     -0.14435331E+02
        161.     -0.25305879E+04     -0.20342815E+04      0.23759470E+04     -0.24001546E+03     -0.24179962E+01     -0.14434789E+02
        162.     -0.25305889E+04     -0.20584412E+04      0.25201609E+04     -0.24001518E+03     -0.24175162E+01     -0.14434211E+02
        163.     -0.25305901E+04     -0.20825959E+04      0.26643694E+04     -0.24001492E+03     -0.24170301E+01     -0.14433599E+02
        164.     -0.25305913E+04     -0.21067461E+04      0.28085715E+04     -0.24001466E+03     -0.24165380E+01     -0.14432955E+02
        165.     -0.25305925E+04     -0.21308914E+04      0.29527673E+04     -0.24001439E+03     -0.24160399E+01     -0.14432275E+02
        166.     -0.25305938E+04     -0.21550317E+04      0.30969565E+04     -0.24001411E+03     -0.24155357E+01     -0.14431561E+02
        167.     -0.25305950E+04     -0.21791670E+04      0.32411387E+04     -0.24001385E+03     -0.24150257E+01     -0.14430813E+02
        168.     -0.25305964E+04     -0.22032974E+04      0.33853132E+04     -0.24001358E+03     -0.24145093E+01     -0.14430031E+02
        169.     -0.25305979E+04     -0.22274229E+04      0.35294802E+04     -0.24001331E+03     -0.24139872E+01     -0.14429215E+02
        170.     -0.25305994E+04     -0.22515430E+04      0.36736392E+04     -0.24001303E+03     -0.24134588E+01     -0.14428365E+02
        171.     -0.25306008E+04     -0.22756580E+04      0.38177896E+04     -0.24001276E+03     -0.24129245E+01     -0.14427481E+02
        172.     -0.25306025E+04     -0.22997676E+04      0.39619314E+04     -0.24001247E+03     -0.24123840E+01     -0.14426561E+02
        173.     -0.25306042E+04     -0.23238721E+04      0.41060645E+04     -0.24001219E+03     -0.24118376E+01     -0.14425609E+02
        174.     -0.25306060E+04     -0.23479712E+04      0.42501880E+04     -0.24001190E+03     -0.24112852E+01     -0.14424623E+02
        175.     -0.25306077E+04     -0.23720649E+04      0.43943018E+04     -0.24001163E+03     -0.24107265E+01     -0.14423601E+02
        176.     -0.25306094E+04     -0.23961531E+04      0.45384053E+04     -0.24001134E+03     -0.24101620E+01     -0.14422546E+02
