t	F	F_Cor	x						
493,00	5380	53800	0,258934000						
494,00	5380	53800	0,259282800						
495,00	5370	53700	0,258914400						
496,00	5370	53700	0,259971800						
497,00	5420	54200	0,260793000						
498,00	5470	54700	0,265995000						
499,00	5500	55000	0,266800500						
500,00	5490	54900	0,267782900						
501,00	5490	54900	0,267815800						
502,00	5470	54700	0,268034300						
503,00	5470	54700	0,268276900						
504,00	5460	54600	0,268458500						
505,00	5450	54500	0,268262400						
506,00	5450	54500	0,268482300						
507,00	5440	54400	0,270027300						
508,00	5470	54700	0,278468600						
509,00	5530	55300	0,278680500						
510,00	5530	55300	0,279560800						
511,00	5530	55300	0,279741700						
512,00	5520	55200	0,278640600						
513,00	5520	55200	0,278913500						
514,00	5520	55200	0,281235100						
515,00	5520	55200	0,288090300						
516,00	5570	55700	0,289688700						
517,00	5590	55900	0,289624300						
518,00	5570	55700	0,289784500						
519,00	5560	55600	0,289633600						
520,00	5540	55400	0,289462700						
521,00	5530	55300	0,289413600						
522,00	5520	55200	0,291676500						
523,00	5540	55400	0,299490600						
524,00	5610	56100	0,300535400						
525,00	5590	55900	0,300084400						
526,00	5580	55800	0,300240900						
527,00	5560	55600	0,300454000						
528,00	5550	55500	0,300357600						
529,00	5540	55400	0,300236300						
530,00	5530	55300	0,300141500						
531,00	5520	55200	0,300048900						
532,00	5520	55200	0,300129900						
533,00	5510	55100	0,300024200						
534,00	5510	55100	0,299785100						
535,00	5500	55000	0,300107900						
536,00	5500	55000	0,299956100						
537,00	5500	55000	0,300120500						
538,00	5490	54900	0,300731100						
539,00	5530	55300	0,308391600						
540,00	5560	55600	0,311462900						
541,00	5600	56000	0,311652100						
542,00	5590	55900	0,311486200						
543,00	5580	55800	0,311162400						
544,00	5560	55600	0,311111000						
545,00	5550	55500	0,310905900						
546,00	5540	55400	0,310827500						
547,00	5530	55300	0,310748700						
548,00	5530	55300	0,310710100						
549,00	5520	55200	0,310706700						
550,00	5520	55200	0,310710200						
551,00	5510	55100	0,310619400						
552,00	5510	55100	0,310456800						
553,00	5510	55100	0,310513000						
554,00	5500	55000	0,310410700						
555,00	5500	55000	0,310683200						
556,00	5500	55000	0,310424200						
557,00	5490	54900	0,310477900						
558,00	5490	54900	0,310584800						
559,00	5490	54900	0,310439000						
560,00	5490	54900	0,310534200						
561,00	5490	54900	0,310630700						
562,00	5480	54800	0,310495900						
563,00	5480	54800	0,311715300						
									
